date_facture;num_facture;compte_de_facturation;ref_acheminement;gaz_ref_pce;id_site;nom_site;code_site;entite_juridique;segment_or;adresse_site;numero_compteur;libelle_compteur;type_index;type_offre;code_imputation;type_de_tarif;id_contrat;date_de_resiliation;compte_commercial;energie;puissance_souscrite_base;puissance_souscrite_hp;puissance_souscrite_hc;puissance_souscrite_hpsb;puissance_souscrite_hcsb;puissance_souscrite_hpsh;puissance_souscrite_hcsh;puissance_souscrite_pointe;puissance_max_atteinte_base;puissance_max_atteinte_hp;puissance_max_atteinte_hc;puissance_max_atteinte_hpsb;puissance_max_atteinte_hcsb;puissance_max_atteinte_hpsh;puissance_max_atteinte_hcsh;puissance_max_atteinte_pointe;date_de_debut_de_consommation;date_de_fin_de_consommation;conso_elec_facturee_kwh;consommation_kwh_base;consommation_kwh_hp;consommation_kwh_hc;consommation_kwh_hpsb;consommation_kwh_hcsb;consommation_kwh_hpsh;consommation_kwh_hcsh;consommation_kwh_pointe;conso_ener_renouvelable_facturee_kwh;assiette_bouclier_electricite_kwh;assiette_amortisseur_electricite_kwh;abonnement_ht_euros;energie_reactive_euros;dont_montant_bouclier_electricite_euros;dont_montant_amortisseur_electricite_euros;ener_renouvelable_ht_euros;montant_htva_pointe;montant_htva_hpsh;montant_htva_hpsb;montant_htva_hcsh;montant_htva_hcsb;montant_htva_base;montant_htva_hp;montant_htva_hc;total_fourniture_elec_ht_euros;prix_moyen_ht_euros_par_mwh;prix_bouclier_electricite_euros_par_mwh;prix_amortisseur_electricite_euros_par_mwh;services_ht_euros;mecanisme_de_capacite_ht_euros;montant_ht_reseau_distrib_euros;tarif_acheminement;cee_ht_euros;prix_unitaire_cee_euro_par_mwh;composante_de_soutirage_variable;composante_de_comptage_reprise_euros;composante_de_comptage_echu_euros;composante_de_comptage_echoir_euros;composante_de_gestion_reprise_euros;composante_de_gestion_echu_euros;composante_de_gestion_echoir_euros;composante_de_soutirage_fixe_reprise_euros;composante_de_soutirage_fixe_echu_euros;composante_de_soutirage_fixe_echoir_euros;comp_de_regroupement_souterrain_reprise_euros_ht;comp_de_regroupement_souterrain_echu_euros_ht;comp_de_regroupement_souterrain_echoir_euros_ht;comp_d_alimentation_secours_souterrain_reprise_euros_ht;comp_d_alimentation_secours_souterrain_echu_euros_ht;comp_d_alimentation_secours_souterrain_echoir_euros_ht;comp_d_alimentation_secours_reservation_reprise_euros_ht;comp_d_alimentation_secours_reservation_echu_euros_ht;comp_d_alimentation_secours_reservation_echoir_euros_ht;gaz_abonnement_transport_euros;gaz_abonnement_distribution_euros;gaz_abonnement_transport_et_distrib_euros;gaz_consommation_annuelle_de_reference;gaz_conso_facturee_kwh;biomethane_montant_facturable;gaz_capacite_journaliere_souscrite;prix_unitaire_capacite_euro_par_mwh;gaz_depassement_de_capacite_journaliere;gaz_util_reseau_euros;depassement_euros;terme_de_quantite_distrib_gaz_euros;gaz_montant_depassement_capacite_journaliere_euros;montant_prestations_techniques;montant_depassement_capacite_horaire;charge_occasionnelle_abonnement_euros;charge_occasionnelle_autre_facturation_euros;charge_occasionnelle_fourniture_euros;charge_occasionnelle_util_reseau_distrib_euros;total_ht_euros;contrib_tarifaire_achem_elec_euros;contrib_tarifaire_achem_gaz_euros;taxe_cfe_euros;contrib_serv_public_electricite_euros;taxe_dcfe_euros;taxe_ccfe_euros;taxe_icgn_euros;contrib_tssg_euros;taxe_charge_occasionnelle_euros;total_htva_euros;tva_taux_normal_euros;tva_taux_reduit_euros;tva_totale_euros;montant_total_ttc_euros;gaz_premiere_mise_en_service_euros;premiere_mise_en_service_euros;type_compteur;groupe_annexe_personnalisee;code_service_executant;engagement_juridique;prix_unitaire_cspe_euro_par_mwh;cta_taux;fta;numero_facture_annulee;tangente_phi;pourcentage_energie_renouvelable;siren_site;info_personnalisee_1;info_personnalisee_2;regularisation_montant_amortisseur_electricite_2023;regularisation_montant_bouclier_electricite_2023
2025-03-02;10221267015;8963989479;30002420746053;;1-1KC6TJ-S;GRAND_BOSC;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C4;"260  CHEMIN DE SAINT MARTIN;BOSC;66200 ELNE";031336155129;PME-PMI;Relevé;NO;;;2010006805038;;3020000578024;E;0;0;0;110;110;110;110;0;0;0;0;0;0;83;82;0;2025-01-18;2025-03-02;9002;0;0;0;0;0;5213;3789;0;;;;15.24;;;;;0.00;1216.19;0.00;368.86;0.00;0.00;0.00;0.00;1585.05;26.02;;;;47.15;678.41;BTSUPCU4-Tarif BT sup 36kVA Courte Utilisation;16.56;;;-22.04;21.37;23.74;-17.21;16.48;18.11;-148.63;144.08;160.12;;;;;;;;;;;;;;;;;;;;0;;;0.00;;;;;;;42.99;;;4.50;;;;;;2389.90;477.99;;477.99;2867.89;0.00;;PME-PMI;;REGIE;;0.05;21.93;BTSUPCU4;;;0;200043602;;;;
2026-03-04;10247072940;8480443672;30002420617805;;1-ID7-4336-S;RP_REJET;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C2;"STATION DE REFOULEMENT;66700 ARGELES SUR MER";047377;PME-PMI;Relevé;NO;F8:Aménagement/service urbain;;2010010456390;;3020001789802;E;0;0;0;96;96;96;96;76;0;0;0;0;0;30;26;28;2026-02-01;2026-02-28;7254;0;0;0;0;0;3173;2992;1089;;;;;6.42;;;;130.04;296.80;0.00;208.87;0.00;0.00;0.00;0.00;635.71;14.75;;;;3.38;431.11;HTACU5-Tarif HTA5 à Pointe Fixe Courte Utilisation;;;;-30.94;28.87;30.94;-35.81;33.43;35.81;-113.70;106.12;113.70;;;;;;;;;;;;;;;;;;;;0;;;0.00;;;;;;;25.26;;;3.63;;;;;;1099.09;219.82;;219.82;1318.91;0.00;;PME-PMI;ASSAINISSEMENT;REGIE;;0.05;15.00;HTACU5;;0.462;0;200043602;;;;
2025-11-24;10240109346;2911966897;30002420718048;;1-H9TMTA-S;STEP_ELNE;23932661501020401;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C4;"41 CHEMIN DE CHARLEMAGNE;RELEVAGE STATION EPURATION;66200 ELNE";031336152741;PME-PMI;Relevé;NO;F0:Services Généraux;;2010006805038;;3020000578046;E;0;0;0;148;148;145;145;0;0;0;0;129;130;0;0;0;2024-06-17;2024-08-02;-51699;0;0;0;-35761;-15938;0;0;0;;;;-15.24;;;;;0.00;0.00;-4573.83;0.00;-1182.12;0.00;0.00;0.00;-5755.95;13.46;;;;254.42;-1344.24;BTSUPCU4-Tarif BT sup 36kVA Courte Utilisation;-95.13;;;20.97;-21.67;-20.97;16.38;-16.92;-16.38;176.96;-182.86;-176.96;;;;;;;;;;;;;;;;;;;;-0;;;0.00;;;;;;;-48.56;;;-1085.68;;;;;;-8090.38;-1618.08;;-1618.08;-9708.46;0.00;;PME-PMI;;REGIE;;-2.10;-21.93;BTSUPCU4;10207816327;;0;200043602;;;;
2026-02-28;10246793270;8325454277;24234298055712;;2050006997364;PR STADE;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C5;"AVE MAL JOFFRE;66690 ST ANDRE";416;Compteur Linky;Relevé;NO;;;2010010456390;;3020001789874;E;12;12;12;12;12;12;12;12;0;0;0;0;0;0;0;0;2026-01-27;2026-02-26;204;0;0;0;0;0;153;51;0;;;;;;;;;0.00;15.18;0.00;3.84;0.00;0.00;0.00;0.00;19.02;22.01;;;;0.10;25.77;BTINFCU4-Tarif BT inf 36kVA Courte Utilisation HP/HC associées à deux saisons;;;;;1.69;;;;1.29;;;9.31;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;1.98;;;6.27;;;;;;53.14;10.63;;10.63;63.77;0.00;;CCB;;REGIE;;6.08;36.93;BTINFCU4;;;0;200043602;;;;
2026-04-17;10250158893;5220841681;24252532506305;;2050006333201;PR LES ECOLES;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C5;"RUE DES ECOLES;PR;66740 LAROQUE DES ALBERES";516;Compteur Linky;Relevé;NO;;;2010010456390;;3020001789892;E;6;6;6;6;6;6;6;6;0;0;0;0;0;0;0;0;2026-03-01;2026-03-05;-8;0;0;0;0;0;-6;-2;0;;;;;;;;;0.00;-0.60;0.00;-0.15;0.00;0.00;0.00;0.00;-0.75;125.88;;;;;-9.32;BTINFCU4-Tarif BT inf 36kVA Courte Utilisation HP/HC associées à deux saisons;;;;;-1.87;;;;-1.43;;;-5.15;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;-1.27;;;-0.25;;;;;;-11.59;-2.31;;-2.31;-13.90;0.00;;CCB;;REGIE;;-3.09;-15.00;BTINFCU4;10247977323;;0;200043602;;;;
2026-04-27;10250866241;5445075405;50017221369662;;1-CYVDRQ-S;STEP_PALAU;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C4;"CHEMIN DE SAINTE COLOMBE;STATION EPURATION;66690 PALAU DEL VIDRE";031236110508;PME-PMI;Relevé;NO;F0:Services Généraux;;2010010456390;;3020001789940;E;0;0;0;66;66;66;66;0;0;0;0;0;0;0;0;0;2026-03-01;2026-03-16;8079;0;0;0;0;0;5848;2231;0;;;;;;;;;0.00;553.86;0.00;165.63;0.00;0.00;0.00;0.00;719.49;8.96;;;;4.39;;BTSUPCU4-Tarif BT sup 36kVA Courte Utilisation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;4.04;;;;;;727.92;145.59;;145.59;873.51;0.00;;PME-PMI;;REGIE;;0.05;;BTSUPCU4;;;0;200043602;;;;
2026-02-27;10246697006;7779095897;24227062204586;;2050006333145;RESERVOIR VALLEE HEUREUSE;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C5;"av ROGER TONDU;RESERVOIR;66690 SOREDE";860;Compteur Linky;Relevé;NO;F0:Services Généraux;;2010006805038;;3020000578042;E;9;9;9;9;9;9;9;9;;0;0;0;0;0;0;0;2025-11-26;2025-12-31;415;415;0;0;0;0;0;0;0;;;;0.00;;;;;0.00;0.00;0.00;0.00;0.00;99.16;0.00;0.00;99.16;33.48;;;;0.97;37.26;BTINFCU4-Tarif BT inf 36kVA Courte Utilisation HP/HC associées à deux saisons;1.53;;;;1.87;;;;1.43;;;7.73;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;2.42;;;12.44;;;;;;153.78;30.75;;30.75;184.53;0.00;;CCB;BATIMENTS COMMUN;REGIE;;3.00;21.93;BTINFCU4;;;0;200043602;;;;
2026-03-23;10248500158;7699553717;30002420597095;;1-D3-4271-S;SURPRESSEUR_ROUTE_SOREDE;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C2;"ROUTE DE SOREDE;66700 ARGELES SUR MER";031636400249;PME-PMI;Relevé;NO;F8:Aménagement/service urbain;;2010010456390;;3020001789464;E;0;0;0;0;31;31;31;11;0;0;0;0;0;0;0;0;2026-03-01;2026-03-23;2264;0;0;0;0;0;1312;952;0;;;;;;;;;0.00;122.72;0.00;66.46;0.00;0.00;0.00;0.00;189.18;8.38;;;;0.64;;HTACU5-Tarif HTA5 à Pointe Fixe Courte Utilisation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;69.84;;;;;;259.66;51.93;;51.93;311.59;0.00;;PME-PMI;EAU;REGIE;;3.09;;HTACU5;;;0;200043602;;;;
2025-05-08;10226044610;6366003111;24259478957566;;2050006333142;PR CRIQUES PORTEILS;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C5;"LIEU DIT CRIQUES DE PORTEILS;66700 ARGELES SUR MER";776;Compteur Linky;Relevé;NO;F10:Autre;;2010006805038;;3020000578037;E;9;9;9;9;9;9;9;9;;0;0;0;0;0;0;0;2025-04-06;2025-05-05;21;21;0;0;0;0;0;0;0;;;;2.87;;;;;0.00;0.00;0.00;0.00;0.00;5.02;0.00;0.00;5.02;92.14;;;;0.05;11.33;BTINFCU4-Tarif BT inf 36kVA Courte Utilisation HP/HC associées à deux saisons;0.08;;;;1.91;;;;1.44;;;7.70;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;2.42;;;0.71;;;;;;22.48;1.23;0.90;2.13;24.61;0.00;;CCB;;REGIE;;3.37;21.93;BTINFCU4;;;0;200043602;;;;
2026-02-18;10246113146;7254906000;50024891417820;;1-K0ZBBA-S;PR_CERBERE_PORT;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C4;"Port Cerbere;POSTE RELEVAGE;66290 CERBERE";031336155109;PME-PMI;Relevé;NO;F0:Services Généraux;;2010010456390;;3020001789930;E;0;0;0;72;72;72;72;0;0;0;0;0;0;22;22;0;2026-01-18;2026-02-14;7874;0;0;0;0;0;5337;2537;0;;;;;;;;;0.00;505.47;0.00;188.35;0.00;0.00;0.00;0.00;693.82;16.63;;;;4.00;611.31;BTSUPCU4-Tarif BT sup 36kVA Courte Utilisation;;;;-23.28;21.73;23.28;-17.90;16.71;17.90;-104.22;97.27;104.22;;;;;;;;;;;;;;;;;;;;0;;;0.00;;;;;;;24.90;;;3.94;;;;;;1337.97;267.59;;267.59;1605.56;0.00;;PME-PMI;;REGIE;;0.05;36.93;BTSUPCU4;;;0;200043602;;;;
